Date,Open,High,Low,Close,Adj Close,Volume,stock,Receita Líquida - (R$),Custos - (R$),Lucro Bruto - (R$),Despesas/Receitas Operacionais - (R$),EBITDA - (R$),EBIT - (R$),Resultado Financeiro - (R$),Impostos - (R$),Lucro Líquido - (R$),Lucro atribuído a Controladora,Lucro atribuído a Não Controladores,Dívida Bruta - (R$),Margem Bruta - (%),Margem Ebitda - (%),Margem Líquida - (%)
2022-08-26,1.1130434516350922,1.126086909649277,1.0892976625537891,1.1250836059810627,0.7358237905830688,1.3708956447451308,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-29,1.12207356739457,1.1732442233649445,1.118729136779289,1.1531772569277103,0.7541973631255665,1.582188500470302,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-30,1.1371237603270332,1.1444816607788706,1.0792642431260973,1.0846154086596564,0.7093568082236199,2.14356506131184,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-31,1.072575254313686,1.1183946171686512,1.064214050193634,1.111371236327452,0.7268554882299045,2.464455528420907,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-01,1.115719098192797,1.1354515450193927,1.0956521317555623,1.1321069868222622,0.7404170561368433,1.492554990809696,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-02,1.1518394336488582,1.156187295514203,1.112374539995666,1.1177257055292251,0.73101153078381,1.7645448426430106,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-05,1.1321069868222622,1.140802710552952,1.1086957173515972,1.1150501865533706,0.7292616181295339,1.6468679616509756,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-06,1.0792642431260973,1.0899665741932154,1.0538461749462291,1.0735785579819002,0.7021384823156565,2.4122067084904604,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-08,1.0806020664049496,1.0963210433949888,1.0501672247203102,1.063545138554208,0.6955764374439717,1.3625769094690334,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-09,1.0866221435779349,1.09264209316907,1.0602007079389273,1.06321074652542,0.6953577621531122,1.0759106167427492,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-12,1.0752509008713904,1.0946488280873483,1.0521738958476636,1.05284280748709,0.6885770419905678,1.5397966051966208,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-13,1.0347826397590592,1.0515050479991626,1.0207358142857352,1.0250836123601552,0.6704220171570796,1.9055383447097505,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-14,1.0284281067663608,1.0511705921794494,1.024414700720729,1.0408027169320444,0.6807025626281759,1.0579571636909642,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-15,1.034113728119633,1.044481603367038,1.0301003220740013,1.038795982013766,0.6793901281374689,0.9827412131201296,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-16,1.0321070569922797,1.0351170955787723,1.01471573711275,1.0294314742255,0.673265625220278,2.314912454803552,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-19,1.0200669026463092,1.049498313080884,0.9993310883605738,1.0458194266458904,0.6839835212730934,1.414355427457004,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-20,1.0508361363597365,1.0568562135327215,1.0314381453528534,1.0397993494729052,0.6800464091737474,1.462643355798521,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-21,1.04849500941267,1.0525083516673768,1.033110360660494,1.042474932239685,0.6817962580370984,1.2687840321703787,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-22,1.05284280748709,1.072909773924324,1.0377926783455518,1.068227456239266,0.6986387845889546,1.505058981904162,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-23,1.0474916419535307,1.0498327689005973,0.99565220192558,1.0013378232788523,0.6548918613050054,2.99074929023239,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-26,0.9939799228270148,1.0060200771729852,0.9789297936854768,0.9795987053249028,0.6406740761527132,0.9262488889655948,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-27,0.9919732516996612,0.9993310883605738,0.9892976689328818,0.9923077075193744,0.648986033678674,1.5336071727518272,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-28,0.9923077075193744,0.9973244172332204,0.9558528524526748,0.9789297936854768,0.6402365979891442,2.258111629833539,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-29,0.9695652221062856,0.9832775917598966,0.9565217640921012,0.980267553173404,0.6411114905253572,1.8884672471371988,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-09-30,0.9772575145869112,1.019732446826596,0.9698996779259988,0.9966555055937945,0.6518294503690975,2.6241359819818264,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
